,_id,FHRSID,ChangesByServerID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,Phone,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,scores,SchemeType,geocode,RightToReply,Distance,NewRatingPending,meta,links
0,63bf3aa536d72f157f83973f,110681,0,4029,The Chase Rest Home,Caring Premises,5,5-6 Southfields Road,Eastbourne,East Sussex,,BN21 1BU,,0,fhrs_0_en-gb,2021-09-23T00:00:00,102,Eastbourne,http://www.eastbourne.gov.uk/foodratings,Customerfirst@eastbourne.gov.uk,"{'Hygiene': 20, 'Structural': 20, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.27694'), 'latitude': Decimal128('50.769705')}",,4613.888288172291,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/110681'}]"
1,63bf3aa536d72f157f839ac0,612039,0,1970/FOOD,Brenalwood,Caring Premises,5,Hall Lane,Walton-on-the-Naze,Essex,,CO14 8HN,,0,fhrs_0_en-gb,2022-06-22T00:00:00,120,Tendring,http://www.tendringdc.gov.uk/,fhsadmin@tendringdc.gov.uk,"{'Hygiene': 20, 'Structural': 15, 'ConfidenceInManagement': 30}",FHRS,"{'longitude': Decimal128('1.278721'), 'latitude': Decimal128('51.857536')}",,4617.965823673803,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/612039'}]"
2,63bf3aa536d72f157f839dcc,730933,0,1698/FOOD,Melrose Hotel,Hotel/bed & breakfast/guest house,7842,53 Marine Parade East,Clacton On Sea,Essex,,CO15 6AD,,0,fhrs_0_en-gb,2021-08-13T00:00:00,120,Tendring,http://www.tendringdc.gov.uk/,fhsadmin@tendringdc.gov.uk,"{'Hygiene': 20, 'Structural': 20, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('1.15927'), 'latitude': Decimal128('51.789429')}",,4619.6561440278165,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/730933'}]"
3,63bf3aa536d72f157f839fc5,172735,0,PI/000023858,Seaford Pizza,Takeaway/sandwich shop,7844,4 High Street,Seaford,East Sussex,,BN25 1PG,,1,fhrs_1_en-gb,2021-12-23T00:00:00,105,Lewes,http://www.lewes-eastbourne.gov.uk/,ehealth.ldc@lewes-eastbourne.gov.uk,"{'Hygiene': 20, 'Structural': 10, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.10202'), 'latitude': Decimal128('50.770885')}",,4620.421724673841,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/172735'}]"
4,63bf3aa536d72f157f839fc6,172953,0,PI/000024532,Golden Palace,Restaurant/Cafe/Canteen,1,5 South Street,Seaford,East Sussex,,BN25 1HP,,1,fhrs_1_en-gb,2021-10-07T00:00:00,105,Lewes,http://www.lewes-eastbourne.gov.uk/,ehealth.ldc@lewes-eastbourne.gov.uk,"{'Hygiene': 20, 'Structural': 10, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.101446'), 'latitude': Decimal128('50.770724')}",,4620.437179097401,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/172953'}]"
5,63bf3aa536d72f157f83a964,512854,0,12/00816/BUTH,Ashby's Butchers,Retailers - other,4613,777 Southchurch Road,Southend-On-Sea,Essex,,SS1 2PP,,0,fhrs_0_en-gb,2022-07-21T00:00:00,893,Southend-On-Sea,http://www.southend.gov.uk,EnvironmentalHealth@southend.gov.uk,"{'Hygiene': 20, 'Structural': 20, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.736349'), 'latitude': Decimal128('51.541448')}",,4625.565258384611,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/512854'}]"
6,63bf3aa536d72f157f83ab87,1537089,0,22/00224/RESTUN,South Sea Express Cuisine,Restaurant/Cafe/Canteen,1,33 Alexandra Street,Southend-on-sea,Essex,,SS1 1BW,,0,fhrs_0_en-gb,2022-08-03T00:00:00,893,Southend-On-Sea,http://www.southend.gov.uk,EnvironmentalHealth@southend.gov.uk,"{'Hygiene': 20, 'Structural': 20, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.7121671'), 'latitude': Decimal128('51.5350065')}",,4626.200132034163,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/1537089'}]"
7,63bf3aa536d72f157f83c0c1,155648,0,EH/00006058,Golden Palace,Takeaway/sandwich shop,7844,7 London Road,Rayleigh,Essex,,SS6 9HN,,0,fhrs_0_en-gb,2022-03-23T00:00:00,118,Rochford,http://www.rochford.gov.uk,customerservices@rochford.gov.uk,"{'Hygiene': 20, 'Structural': 15, 'ConfidenceInManagement': 30}",FHRS,"{'longitude': Decimal128('0.602364'), 'latitude': Decimal128('51.591515')}",,4632.27689004769,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/155648'}]"
8,63bf3aa536d72f157f83c4f6,1012883,0,17/00110/MIXED/S,The Tulip Tree,Restaurant/Cafe/Canteen,1,3 The Village,Chiddingstone,KENT,,TN8 7AH,,1,fhrs_1_en-gb,2022-03-04T00:00:00,187,Sevenoaks,http://www.sevenoaks.gov.uk/,environmental.health@sevenoaks.gov.uk,"{'Hygiene': 20, 'Structural': 5, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.146449998021126'), 'latitude': Decimal128('51.1859474182129')}",,4633.934040834287,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1012883'}]"
9,63bf3aa536d72f157f83cd08,644109,0,41811,F & S,Retailers - other,4613,,81 Southernhay,Basildon,Essex,SS14 1EU,,0,fhrs_0_en-gb,2021-07-26T00:00:00,109,Basildon,http://www.basildon.gov.uk,ehs@basildon.gov.uk,"{'Hygiene': 20, 'Structural': 20, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.462307'), 'latitude': Decimal128('51.57005')}",,4636.552523353182,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/644109'}]"
10,63bf3aa536d72f157f83cd79,267034,0,11/00102/MIXED,Longhouse,Restaurant/Cafe/Canteen,1,17 London Road,Riverhead,KENT,,TN13 2BU,,0,fhrs_0_en-gb,2022-07-27T00:00:00,187,Sevenoaks,http://www.sevenoaks.gov.uk/,environmental.health@sevenoaks.gov.uk,"{'Hygiene': 20, 'Structural': 25, 'ConfidenceInManagement': 30}",FHRS,"{'longitude': Decimal128('0.169685'), 'latitude': Decimal128('51.284795')}",,4636.703065274148,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/267034'}]"
11,63bf3aa536d72f157f83d437,972876,0,17/00059/FOOD/S,Westview Playgroup Based At Downsview Comm Primary,Other catering premises,7841,Downsview Community Primary School,Beech Avenue,Swanley,KENT,BR8 8AU,,1,fhrs_1_en-gb,2022-03-16T00:00:00,187,Sevenoaks,http://www.sevenoaks.gov.uk/,environmental.health@sevenoaks.gov.uk,"{'Hygiene': 20, 'Structural': 20, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': Decimal128('0.1864034'), 'latitude': Decimal128('51.3954686')}",,4640.152449114619,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/972876'}]"
12,63bf3aa536d72f157f83dcfb,1417416,0,21/00350/CP,Whatever The Weather Coffee,Mobile caterer,7846,EMR Erith,Manor Road,Erith,Kent,DA8 2AD,,0,fhrs_0_en-gb,2022-02-17T00:00:00,503,Bexley,http://www.bexley.gov.uk,food.safety@bexley.gov.uk,"{'Hygiene': 20, 'Structural': 15, 'ConfidenceInManagement': 20}",FHRS,"{'longitude': Decimal128('0.19265740017645'), 'latitude': Decimal128('51.4774259502039')}",,4642.935252133844,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1417416'}]"
